label;parent;chapter
ancient class;;PLINE-11-annotéIPL
ancient class;;PLINE-11-annotéIPL
ancient class;;PLINE-11-annotéIPL
ancient class;;PLINE-11-annotéIPL
ancient class;;PLINE-11-annotéIPL
absolute;size;PLINE-11-annotéIPL
absolute;size;PLINE-11-annotéIPL
special;nourishment;PLINE-11-annotéIPL
ancient class;;PLINE-11-annotéIPL
bull;;PLINE-11-annotéIPL
absolute;size;PLINE-11-annotéIPL
ancient class;;PLINE-11-annotéIPL
ancient class;;PLINE-11-annotéIPL
ancient class;;PLINE-11-annotéIPL
ancient class;;PLINE-11-annotéIPL
ancient class;;PLINE-11-annotéIPL
ancient class;;PLINE-11-annotéIPL
ancient class;;PLINE-11-annotéIPL
ancient class;;PLINE-11-annotéIPL
ancient class;;PLINE-11-annotéIPL
ancient class;;PLINE-11-annotéIPL
nerv;;PLINE-11-annotéIPL
comparison with another animal;;PLINE-11-annotéIPL
crustacean;;PLINE-11-annotéIPL
ancient class;;PLINE-11-annotéIPL
surviving capacity;;PLINE-11-annotéIPL
surviving capacity;;PLINE-11-annotéIPL
number;foot;PLINE-11-annotéIPL
ancient class;;PLINE-11-annotéIPL
ancient class;;PLINE-11-annotéIPL
absolute;size;PLINE-11-annotéIPL
nerv;;PLINE-11-annotéIPL
in favor of animal;comparison with human behaviour and qualities;PLINE-11-annotéIPL
absolute;size;PLINE-11-annotéIPL
ancient class;;PLINE-11-annotéIPL
place;;PLINE-11-annotéIPL
beekeeping;zootechnical profession;PLINE-11-annotéIPL
ancient class;;PLINE-11-annotéIPL
absolute;size;PLINE-11-annotéIPL
odour;;PLINE-11-annotéIPL
South-West wind;wind;PLINE-11-annotéIPL
editorial problem;;PLINE-11-annotéIPL
South wind;;PLINE-11-annotéIPL
place;;PLINE-11-annotéIPL
place;;PLINE-11-annotéIPL
Hispania;;PLINE-11-annotéIPL
Aristomachus of Soli;historical character;PLINE-11-annotéIPL
Philiscus of Thasos;;PLINE-11-annotéIPL
front leg;;PLINE-11-annotéIPL
front leg;;PLINE-11-annotéIPL
relative;size;PLINE-11-annotéIPL
place;;PLINE-11-annotéIPL
place;;PLINE-11-annotéIPL
place;;PLINE-11-annotéIPL
mountain;;PLINE-11-annotéIPL
Hymettus;;PLINE-11-annotéIPL
place;;PLINE-11-annotéIPL
place;;PLINE-11-annotéIPL
Calydna Island;;PLINE-11-annotéIPL
leef;;PLINE-11-annotéIPL
place;;PLINE-11-annotéIPL
people;;PLINE-11-annotéIPL
Paeligni;;PLINE-11-annotéIPL
place;;PLINE-11-annotéIPL
Crete;;PLINE-11-annotéIPL
place;;PLINE-11-annotéIPL
place;;PLINE-11-annotéIPL
place;;PLINE-11-annotéIPL
place;;PLINE-11-annotéIPL
Iuppiter2;;PLINE-11-annotéIPL
ocular disease;human disease;PLINE-11-annotéIPL
editorial problem;;PLINE-11-annotéIPL
coit palam;;PLINE-11-annotéIPL
place;;PLINE-11-annotéIPL
wild fig-tree;;PLINE-11-annotéIPL
September;Roman month;PLINE-11-annotéIPL
place;;PLINE-11-annotéIPL
people;;PLINE-11-annotéIPL
place;;PLINE-11-annotéIPL
place;;PLINE-11-annotéIPL
possible bad comprehension of Arist. [[625]] a 6;;PLINE-11-annotéIPL
Colum. 9;;PLINE-11-annotéIPL
13;;PLINE-11-annotéIPL
11.;;PLINE-11-annotéIPL
absolute;size;PLINE-11-annotéIPL
relative;size;PLINE-11-annotéIPL
oestrus;;PLINE-11-annotéIPL
comparison with another animal;;PLINE-11-annotéIPL
ancient class;;PLINE-11-annotéIPL
ancient class;;PLINE-11-annotéIPL
ancient class;;PLINE-11-annotéIPL
place;;PLINE-11-annotéIPL
relative;size;PLINE-11-annotéIPL
walk;locomotion form;PLINE-11-annotéIPL
forehead;;PLINE-11-annotéIPL
hirarchy;;PLINE-11-annotéIPL
mythologicar or literary character;;PLINE-11-annotéIPL
place;;PLINE-11-annotéIPL
Arbalon UNKNOWN PLACE;;PLINE-11-annotéIPL
Drusus;politician;PLINE-11-annotéIPL
Nero Claudius;politician;PLINE-11-annotéIPL
relative;size;PLINE-11-annotéIPL
comparison with human behaviour or qualities;;PLINE-11-annotéIPL
comparison with human behaviour or qualities;;PLINE-11-annotéIPL
absolute;size;PLINE-11-annotéIPL
city;;PLINE-11-annotéIPL
place;;PLINE-11-annotéIPL
ground;habitat;PLINE-11-annotéIPL
place;;PLINE-11-annotéIPL
river;;PLINE-11-annotéIPL
swallow;;PLINE-11-annotéIPL
ancient class;;PLINE-11-annotéIPL
lake;habitat;PLINE-11-annotéIPL
river;;PLINE-11-annotéIPL
odour;;PLINE-11-annotéIPL
sadness;;PLINE-11-annotéIPL
medical knowledge;;PLINE-11-annotéIPL
sadness;;PLINE-11-annotéIPL
ancient class;;PLINE-11-annotéIPL
gourmandise;;PLINE-11-annotéIPL
ox;;PLINE-11-annotéIPL
ox;;PLINE-11-annotéIPL
coleopter;;PLINE-11-annotéIPL
ground;habitat;PLINE-11-annotéIPL
ancient class;;PLINE-11-annotéIPL
relatve;size;PLINE-11-annotéIPL
forest;habitat;PLINE-11-annotéIPL
ancient class;;PLINE-11-annotéIPL
ancient class;;PLINE-11-annotéIPL
absolute;longevity;PLINE-11-annotéIPL
relative;size;PLINE-11-annotéIPL
absolute;longevity;PLINE-11-annotéIPL
