label;candidate;parent;chapter
dent;<https://opentheso.huma-num.fr/?idc=105134&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtB5MOlwoFbc&idt=th310>;;PLINE-9-annotéIPL
dent;<https://opentheso.huma-num.fr/?idc=105134&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtB5MOlwoFbc&idt=th310>;;PLINE-9-annotéIPL
Taenarus;<https://opentheso.huma-num.fr/?idc=108485&idt=th310>,<https://opentheso.huma-num.fr/?idc=108487&idt=th310>;;PLINE-9-annotéIPL
dent;<https://opentheso.huma-num.fr/?idc=105134&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtB5MOlwoFbc&idt=th310>;;PLINE-9-annotéIPL
cuisine;<https://opentheso.huma-num.fr/?idc=pcrtAWMnNe4Z2N&idt=th310>,<https://opentheso.huma-num.fr/?idc=105581&idt=th310>;;PLINE-9-annotéIPL
cuisine;<https://opentheso.huma-num.fr/?idc=pcrtAWMnNe4Z2N&idt=th310>,<https://opentheso.huma-num.fr/?idc=105581&idt=th310>;;PLINE-9-annotéIPL
sole;<https://opentheso.huma-num.fr/?idc=pcrtbnf4dSz1IR&idt=th310>,<https://opentheso.huma-num.fr/?idc=107089&idt=th310>;;PLINE-9-annotéIPL
pain;<https://opentheso.huma-num.fr/?idc=106953&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtDr6Oi6lHM6&idt=th310>;;PLINE-9-annotéIPL
sole;<https://opentheso.huma-num.fr/?idc=pcrtbnf4dSz1IR&idt=th310>,<https://opentheso.huma-num.fr/?idc=107089&idt=th310>;;PLINE-9-annotéIPL
cuisine;<https://opentheso.huma-num.fr/?idc=pcrtAWMnNe4Z2N&idt=th310>,<https://opentheso.huma-num.fr/?idc=105581&idt=th310>;;PLINE-9-annotéIPL
cuisine;<https://opentheso.huma-num.fr/?idc=pcrtAWMnNe4Z2N&idt=th310>,<https://opentheso.huma-num.fr/?idc=105581&idt=th310>;;PLINE-9-annotéIPL
cuisine;<https://opentheso.huma-num.fr/?idc=pcrtAWMnNe4Z2N&idt=th310>,<https://opentheso.huma-num.fr/?idc=105581&idt=th310>;;PLINE-9-annotéIPL
cuisine;<https://opentheso.huma-num.fr/?idc=pcrtAWMnNe4Z2N&idt=th310>,<https://opentheso.huma-num.fr/?idc=105581&idt=th310>;;PLINE-9-annotéIPL
cuisine;<https://opentheso.huma-num.fr/?idc=pcrtAWMnNe4Z2N&idt=th310>,<https://opentheso.huma-num.fr/?idc=105581&idt=th310>;;PLINE-9-annotéIPL
cuisine;<https://opentheso.huma-num.fr/?idc=pcrtAWMnNe4Z2N&idt=th310>,<https://opentheso.huma-num.fr/?idc=105581&idt=th310>;;PLINE-9-annotéIPL
sole;<https://opentheso.huma-num.fr/?idc=pcrtbnf4dSz1IR&idt=th310>,<https://opentheso.huma-num.fr/?idc=107089&idt=th310>;;PLINE-9-annotéIPL
dent;<https://opentheso.huma-num.fr/?idc=105134&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtB5MOlwoFbc&idt=th310>;;PLINE-9-annotéIPL
lucerna;<https://opentheso.huma-num.fr/?idc=pcrtlKNhumKaYq&idt=th310>,<https://opentheso.huma-num.fr/?idc=107223&idt=th310>;;PLINE-9-annotéIPL
dent;<https://opentheso.huma-num.fr/?idc=105134&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtB5MOlwoFbc&idt=th310>;;PLINE-9-annotéIPL
cuisine;<https://opentheso.huma-num.fr/?idc=pcrtAWMnNe4Z2N&idt=th310>,<https://opentheso.huma-num.fr/?idc=105581&idt=th310>;;PLINE-9-annotéIPL
cuisine;<https://opentheso.huma-num.fr/?idc=pcrtAWMnNe4Z2N&idt=th310>,<https://opentheso.huma-num.fr/?idc=105581&idt=th310>;;PLINE-9-annotéIPL
cuisine;<https://opentheso.huma-num.fr/?idc=pcrtAWMnNe4Z2N&idt=th310>,<https://opentheso.huma-num.fr/?idc=105581&idt=th310>;;PLINE-9-annotéIPL
cuisine;<https://opentheso.huma-num.fr/?idc=pcrtAWMnNe4Z2N&idt=th310>,<https://opentheso.huma-num.fr/?idc=105581&idt=th310>;;PLINE-9-annotéIPL
cuisine;<https://opentheso.huma-num.fr/?idc=pcrtAWMnNe4Z2N&idt=th310>,<https://opentheso.huma-num.fr/?idc=105581&idt=th310>;;PLINE-9-annotéIPL
cuisine;<https://opentheso.huma-num.fr/?idc=pcrtAWMnNe4Z2N&idt=th310>,<https://opentheso.huma-num.fr/?idc=105581&idt=th310>;;PLINE-9-annotéIPL
cuisine;<https://opentheso.huma-num.fr/?idc=pcrtAWMnNe4Z2N&idt=th310>,<https://opentheso.huma-num.fr/?idc=105581&idt=th310>;;PLINE-9-annotéIPL
marin;<https://opentheso.huma-num.fr/?idc=107294&idt=th310>,<https://opentheso.huma-num.fr/?idc=106935&idt=th310>;;PLINE-9-annotéIPL
cuisine;<https://opentheso.huma-num.fr/?idc=pcrtAWMnNe4Z2N&idt=th310>,<https://opentheso.huma-num.fr/?idc=105581&idt=th310>;;PLINE-9-annotéIPL
cuisine;<https://opentheso.huma-num.fr/?idc=pcrtAWMnNe4Z2N&idt=th310>,<https://opentheso.huma-num.fr/?idc=105581&idt=th310>;;PLINE-9-annotéIPL
cuisine;<https://opentheso.huma-num.fr/?idc=pcrtAWMnNe4Z2N&idt=th310>,<https://opentheso.huma-num.fr/?idc=105581&idt=th310>;;PLINE-9-annotéIPL
cuisine;<https://opentheso.huma-num.fr/?idc=pcrtAWMnNe4Z2N&idt=th310>,<https://opentheso.huma-num.fr/?idc=105581&idt=th310>;;PLINE-9-annotéIPL
cuisine;<https://opentheso.huma-num.fr/?idc=pcrtAWMnNe4Z2N&idt=th310>,<https://opentheso.huma-num.fr/?idc=105581&idt=th310>;;PLINE-9-annotéIPL
cuisine;<https://opentheso.huma-num.fr/?idc=pcrtAWMnNe4Z2N&idt=th310>,<https://opentheso.huma-num.fr/?idc=105581&idt=th310>;;PLINE-9-annotéIPL
cuisine;<https://opentheso.huma-num.fr/?idc=pcrtAWMnNe4Z2N&idt=th310>,<https://opentheso.huma-num.fr/?idc=105581&idt=th310>;;PLINE-9-annotéIPL
