label;parent;chapter
ancient class;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
Panchaia;;PLINE-10-annoteIPL
Panchaia;;PLINE-10-annoteIPL
Heliopolis;;PLINE-10-annoteIPL
Heliopolis;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
1st. c. BCE;;PLINE-10-annoteIPL
1st. c. BCE problemas de identificación;;PLINE-10-annoteIPL
1st c. CE;;PLINE-10-annoteIPL
1st c. CE;;PLINE-10-annoteIPL
other kind of public exhibition;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
filio-paternal relationship;;PLINE-10-annoteIPL
specially distinguishing feature;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
Boethus editorial problem historical character;;PLINE-10-annoteIPL
Boethus editorial problem historical character;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
specially distinguishing feature;;PLINE-10-annoteIPL
specially distinguishing feature;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
waterbird;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
gragarious;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
unidefined author/s;;PLINE-10-annoteIPL
unidefined author/s;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
wild beast;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
minotaur;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
2nd-1st c. BCE;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
quadruped;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
Sestos;;PLINE-10-annoteIPL
Sestos;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
technical authorty;;PLINE-10-annoteIPL
roman deity;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
inmususlus;;PLINE-10-annoteIPL
1st c. CE;;PLINE-10-annoteIPL
testes;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
Masaesylia;;PLINE-10-annoteIPL
Masaesylia;;PLINE-10-annoteIPL
Cerne;;PLINE-10-annoteIPL
Cerne;;PLINE-10-annoteIPL
Amphipolis;;PLINE-10-annoteIPL
lake Maeotis;;PLINE-10-annoteIPL
lake Maeotis;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
accipiter;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
accipiter;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
accipiter;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
filio-paternal relationship;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
accipiter;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
bird with claws;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
bird with toes;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
palmiped bird;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
waterbird;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
bird with claws;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
bird with claws;;PLINE-10-annoteIPL
Cranon;;PLINE-10-annoteIPL
Cranon;;PLINE-10-annoteIPL
Thessalia;;PLINE-10-annoteIPL
seduction couple relationship;;PLINE-10-annoteIPL
4th c. BCE;;PLINE-10-annoteIPL
Peloponnesus;;PLINE-10-annoteIPL
Peloponnesus;;PLINE-10-annoteIPL
Atica;;PLINE-10-annoteIPL
animal used in divination;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
bird with claw;;PLINE-10-annoteIPL
bird with claw;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
night bird;;PLINE-10-annoteIPL
1st c. CE;;PLINE-10-annoteIPL
roman month;;PLINE-10-annoteIPL
2nd c. BCE;;PLINE-10-annoteIPL
1st c. CE;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
editorial problems;;PLINE-10-annoteIPL
perhaps subter;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
accipiter;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
bird with claws;;PLINE-10-annoteIPL
specially distinguishing element;;PLINE-10-annoteIPL
Lazio;;PLINE-10-annoteIPL
Lazio;;PLINE-10-annoteIPL
mythological or legendary character;;PLINE-10-annoteIPL
1st c. BCE;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
night bird;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
bird with claws;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
with shell;;PLINE-10-annoteIPL
historical charcter;;PLINE-10-annoteIPL
1st c. BCE;;PLINE-10-annoteIPL
