annotation;text;concept;chapter
respiration;neque spirare;https://opentheso.huma-num.fr/?idc=105245&idt=th310;PLINE-11-annotéIPL
not blooded;sanguine etiam carere prodiderunt;https://opentheso.huma-num.fr/?idc=105780&idt=th310;PLINE-11-annotéIPL
terrestrial;terrestrium;https://opentheso.huma-num.fr/?idc=105781&idt=th310;PLINE-11-annotéIPL
flying;volucrumque vita;https://opentheso.huma-num.fr/?idc=105383&idt=th310;PLINE-11-annotéIPL
bee;alia pinnata, ut apes;https://opentheso.huma-num.fr/?idc=pcrtnpPag9iONJ&idt=th310;PLINE-11-annotéIPL
wing;alia pinnata, ut apes;https://opentheso.huma-num.fr/?idc=105865&idt=th310;PLINE-11-annotéIPL
ant;alia utroque modo, ut formicae;https://opentheso.huma-num.fr/?idc=105927&idt=th310;PLINE-11-annotéIPL
wing;alia utroque modo, ut formicae;https://opentheso.huma-num.fr/?idc=105865&idt=th310;PLINE-11-annotéIPL
foot;alia utroque modo, ut formicae;https://opentheso.huma-num.fr/?idc=105155&idt=th310;PLINE-11-annotéIPL
winged;alia pinnata, ut apes, alia utroque modo, ut formicae,;https://opentheso.huma-num.fr/?idc=106753&idt=th310;PLINE-11-annotéIPL
wing;aliqua et pinnis et pedibus carentia;https://opentheso.huma-num.fr/?idc=105865&idt=th310;PLINE-11-annotéIPL
foot;aliqua et pinnis et pedibus carentia;https://opentheso.huma-num.fr/?idc=105155&idt=th310;PLINE-11-annotéIPL
neck;cervicium loco;https://opentheso.huma-num.fr/?idc=105140&idt=th310;PLINE-11-annotéIPL
chest;nunc pectorum;https://opentheso.huma-num.fr/?idc=105141&idt=th310;PLINE-11-annotéIPL
belly;atque alvi;https://opentheso.huma-num.fr/?idc=105148&idt=th310;PLINE-11-annotéIPL
belly;in alvo;https://opentheso.huma-num.fr/?idc=105148&idt=th310;PLINE-11-annotéIPL
neck;superne tantum;https://opentheso.huma-num.fr/?idc=105140&idt=th310;PLINE-11-annotéIPL
chest;superne tantum;https://opentheso.huma-num.fr/?idc=105141&idt=th310;PLINE-11-annotéIPL
entomon;inmensae subtilitatis animalia, quando aliqui ea neque spirare et sanguine etiam carere prodiderunt. multa haec et multigenera, terrestrium volucrumque vita (alia pinnata, ut apes, alia utroque modo, ut formicae, aliqua et pinnis et pedibus carentia), et iure omnia insecta appellata ab incisuris, quae nunc cervicium loco, nunc pectorum atque alvi, praecincta separant membra, tenui modo fistula cohaerentia, aliquis vero non tota incisurae ambiente ruga, sed in alvo aut superne tantum imbricatis flexili vertebris, nusquam alibi spectatiore naturae rerum artificio.;https://opentheso.huma-num.fr/?idc=107515&idt=th310;PLINE-11-annotéIPL
size;in magnis siquidem corporibus aut certe maioribus facilis officina sequaci materia fuit;https://opentheso.huma-num.fr/?idc=105270&idt=th310;PLINE-11-annotéIPL
size;in his tam parvis atque tam nullis quae ratio, quanta vis, <qu>am inextricabilis perfectio;https://opentheso.huma-num.fr/?idc=105270&idt=th310;PLINE-11-annotéIPL
gnat;ubi tot sensus collocavit in culice;https://opentheso.huma-num.fr/?idc=107416&idt=th310;PLINE-11-annotéIPL
sense;ubi tot sensus collocavit in culice;https://opentheso.huma-num.fr/?idc=105253&idt=th310;PLINE-11-annotéIPL
size;et sunt alia dictu minora;https://opentheso.huma-num.fr/?idc=105270&idt=th310;PLINE-11-annotéIPL
sight;ubi visum in eo praetendit;https://opentheso.huma-num.fr/?idc=105403&idt=th310;PLINE-11-annotéIPL
taste;ubi gustatum adplicavit;https://opentheso.huma-num.fr/?idc=105404&idt=th310;PLINE-11-annotéIPL
smell;ubi odoratum inseruit;https://opentheso.huma-num.fr/?idc=105402&idt=th310;PLINE-11-annotéIPL
sound;ubi vero truculentam illam et por-  [[3]]  tione maximam vocem ingeneravit;https://opentheso.huma-num.fr/?idc=105250&idt=th310;PLINE-11-annotéIPL
voice;ubi vero truculentam illam et por-  [[3]]  tione maximam vocem ingeneravit;https://opentheso.huma-num.fr/?idc=105391&idt=th310;PLINE-11-annotéIPL
wing;qua subtilitate pinnas adne<xu>it;https://opentheso.huma-num.fr/?idc=105865&idt=th310;PLINE-11-annotéIPL
leg;praelongavit pedum crura;https://opentheso.huma-num.fr/?idc=105149&idt=th310;PLINE-11-annotéIPL
foot;praelongavit pedum crura;https://opentheso.huma-num.fr/?idc=105155&idt=th310;PLINE-11-annotéIPL
belly;disposuit ieiunam caveam uti alvum;https://opentheso.huma-num.fr/?idc=105148&idt=th310;PLINE-11-annotéIPL
digestive system;disposuit ieiunam caveam uti alvum;https://opentheso.huma-num.fr/?idc=105214&idt=th310;PLINE-11-annotéIPL
thirst;avidam sanguinis et potissimum humani sitim accendit;https://opentheso.huma-num.fr/?idc=105345&idt=th310;PLINE-11-annotéIPL
parasite of man;avidam sanguinis et potissimum humani sitim accendit;https://opentheso.huma-num.fr/?idc=105619&idt=th310;PLINE-11-annotéIPL
mouth;telum vero perfodiendo tergori quo spiculavit ingenio atque, ut in capaci, cum cerni non possit exilitas, reciproca generavit arte, ut fodiendo acuminatum pariter sorbendoque fistulosum esset;https://opentheso.huma-num.fr/?idc=105131&idt=th310;PLINE-11-annotéIPL
proboscis;telum vero perfodiendo tergori quo spiculavit ingenio atque, ut in capaci, cum cerni non possit exilitas, reciproca generavit arte, ut fodiendo acuminatum pariter sorbendoque fistulosum esset;https://opentheso.huma-num.fr/?idc=107511&idt=th310;PLINE-11-annotéIPL
bloodsucking;avidam sanguinis et potissimum humani sitim accendit! telum vero perfodiendo tergori quo spiculavit ingenio atque, ut in capaci, cum cerni non possit exilitas, reciproca generavit arte, ut fodiendo acuminatum pariter sorbendoque fistulosum esset!;https://opentheso.huma-num.fr/?idc=107509&idt=th310;PLINE-11-annotéIPL
dent;ad perforanda robora <terebrar>um sono teste dentes;https://opentheso.huma-num.fr/?idc=105134&idt=th310;PLINE-11-annotéIPL
dent;ad perforanda robora <terebrar>um sono teste dentes;https://opentheso.huma-num.fr/?idc=pcrtB5MOlwoFbc&idt=th310;PLINE-11-annotéIPL
woodworm;quos teredini ad perforanda robora <terebrar>um sono teste dentes adfixit potissimumque  [[4]]  e ligno cibatum fecit;https://opentheso.huma-num.fr/?idc=107513&idt=th310;PLINE-11-annotéIPL
nourishment;potissimumque  [[4]]  e ligno cibatum fecit;https://opentheso.huma-num.fr/?idc=105246&idt=th310;PLINE-11-annotéIPL
wood;potissimumque  [[4]]  e ligno cibatum fecit;https://opentheso.huma-num.fr/?idc=pcrtMr3tb79bV8&idt=th310;PLINE-11-annotéIPL
entomon;in his tam parvis atque tam nullis quae ratio, quanta vis, <qu>am inextricabilis perfectio! ubi tot sensus collocavit in culice? et sunt alia dictu minora: sed ubi visum in eo praetendit? ubi gustatum adplicavit? ubi odoratum inseruit? ubi vero truculentam illam et por-  [[3]]  tione maximam vocem ingeneravit? qua subtilitate pinnas adne<xu>it, praelongavit pedum crura, disposuit ieiunam caveam uti alvum, avidam sanguinis et potissimum humani sitim accendit! telum vero perfodiendo tergori quo spiculavit ingenio atque, ut in capaci, cum cerni non possit exilitas, reciproca generavit arte, ut fodiendo acuminatum pariter sorbendoque fistulosum esset! quos teredini ad perforanda robora <terebrar>um sono teste dentes adfixit potissimumque  [[4]]  e ligno cibatum fecit!;https://opentheso.huma-num.fr/?idc=107515&idt=th310;PLINE-11-annotéIPL
elephant;sed turrigeros elephantorum miramur umeros;https://opentheso.huma-num.fr/?idc=pcrth4ik1YqDS1&idt=th310;PLINE-11-annotéIPL
force;sed turrigeros elephantorum miramur umeros;https://opentheso.huma-num.fr/?idc=105280&idt=th310;PLINE-11-annotéIPL
loin;sed turrigeros elephantorum miramur umeros;https://opentheso.huma-num.fr/?idc=105142&idt=th310;PLINE-11-annotéIPL
neck;taurorumque colla et truces in sublime iactus;https://opentheso.huma-num.fr/?idc=105140&idt=th310;PLINE-11-annotéIPL
