label;parent;chapter
ancient class;;PLINE-10-annotéIPL
absolute;size;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
place;;PLINE-10-annotéIPL
place;;PLINE-10-annotéIPL
relative;size;PLINE-10-annotéIPL
relative;speed;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
absolute;size;PLINE-10-annotéIPL
absolute;size of offspring;PLINE-10-annotéIPL
place;;PLINE-10-annotéIPL
place;;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
place;;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
relative;size;PLINE-10-annotéIPL
place;;PLINE-10-annotéIPL
absolute;longevity;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
place;;PLINE-10-annotéIPL
Panchaia;;PLINE-10-annotéIPL
place;;PLINE-10-annotéIPL
Heliopolis;;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
Crassus;;PLINE-10-annotéIPL
Publius Licinius;;PLINE-10-annotéIPL
Cornelius;;PLINE-10-annotéIPL
Cnaeus;;PLINE-10-annotéIPL
1st. c. BCE;;PLINE-10-annotéIPL
1st. c. BCE problemas de identificación;;PLINE-10-annotéIPL
place;;PLINE-10-annotéIPL
Egypt;;PLINE-10-annotéIPL
Plautius;;PLINE-10-annotéIPL
Quintus;;PLINE-10-annotéIPL
Papinius;;PLINE-10-annotéIPL
Sextus;;PLINE-10-annotéIPL
1st c. CE;;PLINE-10-annotéIPL
Valerianus;intellectual authority;PLINE-10-annotéIPL
Cornelius;intellectual authority;PLINE-10-annotéIPL
place;;PLINE-10-annotéIPL
1st c. CE;;PLINE-10-annotéIPL
other kind of public exhibition;;PLINE-10-annotéIPL
absolute;force;PLINE-10-annotéIPL
absolute;size;PLINE-10-annotéIPL
absolute;force;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
filio-paternal relationship;;PLINE-10-annotéIPL
specially distinguishing feature;;PLINE-10-annotéIPL
mountain;habitat;PLINE-10-annotéIPL
field;habitat;PLINE-10-annotéIPL
relative;size;PLINE-10-annotéIPL
relative;force;PLINE-10-annotéIPL
lake;habitat;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
Boethus editorial problem historical character;intellectual authority;PLINE-10-annotéIPL
absolute;size;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
specially distinguishing feature;;PLINE-10-annotéIPL
specially distinguishing feature;;PLINE-10-annotéIPL
absolute;size;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
lake;habitat;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
gragarious;;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
absolute;size;PLINE-10-annotéIPL
absolute;size;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
people;;PLINE-10-annotéIPL
unidefined author/s;intellectual authority;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
reproduction form;;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
minotaur;;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
Marius;politician;PLINE-10-annotéIPL
Caius;politician;PLINE-10-annotéIPL
2nd-1st c. BCE;;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
dragon;;PLINE-10-annotéIPL
place;;PLINE-10-annotéIPL
Sestos;;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
place;;PLINE-10-annotéIPL
;;PLINE-10-annotéIPL
technical authorty;;PLINE-10-annotéIPL
roman deity;;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
inmususlus;;PLINE-10-annotéIPL
1st c. CE;;PLINE-10-annotéIPL
Scaevola;historical character;PLINE-10-annotéIPL
Quintus Mucius;historical character;PLINE-10-annotéIPL
place;;PLINE-10-annotéIPL
testes;;PLINE-10-annotéIPL
people;;PLINE-10-annotéIPL
people;;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
place;;PLINE-10-annotéIPL
ocean;;PLINE-10-annotéIPL
place;;PLINE-10-annotéIPL
Masaesylia;;PLINE-10-annotéIPL
place;;PLINE-10-annotéIPL
Cerne;;PLINE-10-annotéIPL
place;;PLINE-10-annotéIPL
Amphipolis;;PLINE-10-annotéIPL
forest;habitat;PLINE-10-annotéIPL
place;;PLINE-10-annotéIPL
lake Maeotis;;PLINE-10-annotéIPL
solidarity between man and animal;;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
forest;habitat;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
filio-paternal relationship;;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
relative;size;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
place;;PLINE-10-annotéIPL
Olympia;;PLINE-10-annotéIPL
swallow;;PLINE-10-annotéIPL
;animal disease;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
swallow;;PLINE-10-annotéIPL
place;;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
place;;PLINE-10-annotéIPL
Cranon;;PLINE-10-annotéIPL
Thessalia;;PLINE-10-annotéIPL
fig;;PLINE-10-annotéIPL
place;;PLINE-10-annotéIPL
Egypt;;PLINE-10-annotéIPL
seduction couple relationship;;PLINE-10-annotéIPL
4th c. BCE;;PLINE-10-annotéIPL
place;;PLINE-10-annotéIPL
Peloponnesus;;PLINE-10-annotéIPL
Atica;;PLINE-10-annotéIPL
;historical character;PLINE-10-annotéIPL
animal used in divination;;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
bird with claw;;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
place;;PLINE-10-annotéIPL
Palpelius Hister;historical character;PLINE-10-annotéIPL
Sextus;historical character;PLINE-10-annotéIPL
Pedanius;;PLINE-10-annotéIPL
Lucius;;PLINE-10-annotéIPL
1st c. CE;;PLINE-10-annotéIPL
roman month;;PLINE-10-annotéIPL
place;;PLINE-10-annotéIPL
place;;PLINE-10-annotéIPL
Cassius;historical character;PLINE-10-annotéIPL
Lucius;historical character;PLINE-10-annotéIPL
Marius;;PLINE-10-annotéIPL
Caius;;PLINE-10-annotéIPL
2nd c. BCE;;PLINE-10-annotéIPL
Labeo;intellectual authority;PLINE-10-annotéIPL
Marcus Antistius;intellectual authority;PLINE-10-annotéIPL
1st c. CE;;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
editorial problems;;PLINE-10-annotéIPL
perhaps subter;;PLINE-10-annotéIPL
Hylas;intellectual authority;PLINE-10-annotéIPL
writer on auguria;intellectual authority;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
specially distinguishing element;;PLINE-10-annotéIPL
Niger;intellectual authority;PLINE-10-annotéIPL
Trebius;intellectual authority;PLINE-10-annotéIPL
place;;PLINE-10-annotéIPL
Lazio;;PLINE-10-annotéIPL
mythological or legendary character;;PLINE-10-annotéIPL
Tubero;historical character;PLINE-10-annotéIPL
Quintus Aelius;historical character;PLINE-10-annotéIPL
1st c. BCE;;PLINE-10-annotéIPL
place;;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
relative;size;PLINE-10-annotéIPL
absolute;size;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
relative;size;PLINE-10-annotéIPL
ancient class;similarity to another animal;PLINE-10-annotéIPL
absolute;longevity;PLINE-10-annotéIPL
place;;PLINE-10-annotéIPL
historical charcter;;PLINE-10-annotéIPL
Quintus;Hortensius, Quintus;PLINE-10-annotéIPL
Lurco;;PLINE-10-annotéIPL
Marcus Aufidius;;PLINE-10-annotéIPL
1st c. BCE;;PLINE-10-annotéIPL
trade of animal;;PLINE-10-annotéIPL
astrologie;connaissance pratique;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
place;;PLINE-10-annotéIPL
Rhodes;;PLINE-10-annotéIPL
place;;PLINE-10-annotéIPL
Tanagra;;PLINE-10-annotéIPL
place;;PLINE-10-annotéIPL
Melos;;PLINE-10-annotéIPL
place;;PLINE-10-annotéIPL
acient class;;PLINE-10-annotéIPL
outre presentation publique;spectacle;PLINE-10-annotéIPL
place;;PLINE-10-annotéIPL
Pergamum;;PLINE-10-annotéIPL
place;;PLINE-10-annotéIPL
Rimini;;PLINE-10-annotéIPL
Galerius;historical character;PLINE-10-annotéIPL
place;;PLINE-10-annotéIPL
place;;PLINE-10-annotéIPL
Aegium;;PLINE-10-annotéIPL
place;;PLINE-10-annotéIPL
Olenus;;PLINE-10-annotéIPL
Glauces;historical character;PLINE-10-annotéIPL
girl loved by a goose;historical character;PLINE-10-annotéIPL
Lacydes;philosopher;PLINE-10-annotéIPL
love to master;;PLINE-10-annotéIPL
Scipio;historical character;PLINE-10-annotéIPL
Metellus;historical character;PLINE-10-annotéIPL
1st c. BCE;;PLINE-10-annotéIPL
Seius;;PLINE-10-annotéIPL
Marcus;;PLINE-10-annotéIPL
1st c. BCE;;PLINE-10-annotéIPL
ancient class;;PLINE-10-annotéIPL
place;;PLINE-10-annotéIPL
people;;PLINE-10-annotéIPL
morini;;PLINE-10-annotéIPL
place;;PLINE-10-annotéIPL
