label;candidate;parent;chapter
dent;<https://opentheso.huma-num.fr/?idc=105134&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtB5MOlwoFbc&idt=th310>;;PLINE-8-annotéIPL
dent;<https://opentheso.huma-num.fr/?idc=105134&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtB5MOlwoFbc&idt=th310>;;PLINE-8-annotéIPL
Lucania;<https://opentheso.huma-num.fr/?idc=105757&idt=th310>,<https://opentheso.huma-num.fr/?idc=107790&idt=th310>;;PLINE-8-annotéIPL
Nero;<https://opentheso.huma-num.fr/?idc=pcrt3kpULwWUS2&idt=th310>,<https://opentheso.huma-num.fr/?idc=105836&idt=th310>;historical character;PLINE-8-annotéIPL
pain;<https://opentheso.huma-num.fr/?idc=106953&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtDr6Oi6lHM6&idt=th310>;;PLINE-8-annotéIPL
Nero;<https://opentheso.huma-num.fr/?idc=pcrt3kpULwWUS2&idt=th310>,<https://opentheso.huma-num.fr/?idc=105836&idt=th310>;;PLINE-8-annotéIPL
dent;<https://opentheso.huma-num.fr/?idc=105134&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtB5MOlwoFbc&idt=th310>;;PLINE-8-annotéIPL
pain;<https://opentheso.huma-num.fr/?idc=106953&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtDr6Oi6lHM6&idt=th310>;;PLINE-8-annotéIPL
cuisine;<https://opentheso.huma-num.fr/?idc=pcrtAWMnNe4Z2N&idt=th310>,<https://opentheso.huma-num.fr/?idc=105581&idt=th310>;;PLINE-8-annotéIPL
dent;<https://opentheso.huma-num.fr/?idc=105134&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtB5MOlwoFbc&idt=th310>;;PLINE-8-annotéIPL
dent;<https://opentheso.huma-num.fr/?idc=105134&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtB5MOlwoFbc&idt=th310>;;PLINE-8-annotéIPL
