label;parent;candidate;chapter
bird;;<https://opentheso.huma-num.fr/?idc=108367&idt=th310>, <https://opentheso.huma-num.fr/?idc=108685&idt=th310>, <https://opentheso.huma-num.fr/?idc=105934&idt=th310>, <https://opentheso.huma-num.fr/?idc=108667&idt=th310>, <https://opentheso.huma-num.fr/?idc=108641&idt=th310>, <https://opentheso.huma-num.fr/?idc=108279&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtJzuAzNR9vn&idt=th310>;PLINE-10-annoteIPL
bird;ancient class;<https://opentheso.huma-num.fr/?idc=108367&idt=th310>,<https://opentheso.huma-num.fr/?idc=108685&idt=th310>,<https://opentheso.huma-num.fr/?idc=105934&idt=th310>,<https://opentheso.huma-num.fr/?idc=108667&idt=th310>,<https://opentheso.huma-num.fr/?idc=108641&idt=th310>,<https://opentheso.huma-num.fr/?idc=108279&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtJzuAzNR9vn&idt=th310>;PLINE-10-annoteIPL
absolute;size;<https://opentheso.huma-num.fr/?idc=105271&idt=th310>,<https://opentheso.huma-num.fr/?idc=105167&idt=th310>,<https://opentheso.huma-num.fr/?idc=105374&idt=th310>;PLINE-10-annoteIPL
absolute;size;<https://opentheso.huma-num.fr/?idc=105271&idt=th310>,<https://opentheso.huma-num.fr/?idc=105167&idt=th310>,<https://opentheso.huma-num.fr/?idc=105374&idt=th310>;PLINE-10-annoteIPL
beast;;<https://opentheso.huma-num.fr/?idc=107906&idt=th310>, <https://opentheso.huma-num.fr/?idc=107902&idt=th310>, <https://opentheso.huma-num.fr/?idc=107904&idt=th310>, <https://opentheso.huma-num.fr/?idc=107900&idt=th310>, <https://opentheso.huma-num.fr/?idc=107910&idt=th310>, <https://opentheso.huma-num.fr/?idc=106486&idt=th310>, <https://opentheso.huma-num.fr/?idc=107908&idt=th310>, <https://opentheso.huma-num.fr/?idc=107898&idt=th310>;PLINE-10-annoteIPL
beast;ancient class;<https://opentheso.huma-num.fr/?idc=107906&idt=th310>,<https://opentheso.huma-num.fr/?idc=107902&idt=th310>,<https://opentheso.huma-num.fr/?idc=107904&idt=th310>,<https://opentheso.huma-num.fr/?idc=107900&idt=th310>,<https://opentheso.huma-num.fr/?idc=107910&idt=th310>,<https://opentheso.huma-num.fr/?idc=106486&idt=th310>,<https://opentheso.huma-num.fr/?idc=107908&idt=th310>,<https://opentheso.huma-num.fr/?idc=107898&idt=th310>;PLINE-10-annoteIPL
place;;<https://opentheso.huma-num.fr/?idc=pcrtSxe2PZMWR8&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtjMViY6Mka1&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtKjVnonMg0S&idt=th310>, <https://opentheso.huma-num.fr/?idc=107059&idt=th310>, <https://opentheso.huma-num.fr/?idc=105497&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrt20EsS32aXe&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtY20DKUZ2AS&idt=th310>;PLINE-10-annoteIPL
Africa;;<https://opentheso.huma-num.fr/?idc=pcrtASNSSVPKAu&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtWenr3MyngA&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtShV4zjpBwz&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtVXEeNuNBWM&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrt6dOfSUnkXu&idt=th310>, <https://opentheso.huma-num.fr/?idc=106949&idt=th310>, <https://opentheso.huma-num.fr/?idc=108467&idt=th310>;PLINE-10-annoteIPL
Africa;place;<https://opentheso.huma-num.fr/?idc=pcrtASNSSVPKAu&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtWenr3MyngA&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtShV4zjpBwz&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtVXEeNuNBWM&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrt6dOfSUnkXu&idt=th310>,<https://opentheso.huma-num.fr/?idc=106949&idt=th310>,<https://opentheso.huma-num.fr/?idc=108467&idt=th310>;PLINE-10-annoteIPL
place;;<https://opentheso.huma-num.fr/?idc=pcrtSxe2PZMWR8&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtjMViY6Mka1&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtKjVnonMg0S&idt=th310>, <https://opentheso.huma-num.fr/?idc=107059&idt=th310>, <https://opentheso.huma-num.fr/?idc=105497&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrt20EsS32aXe&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtY20DKUZ2AS&idt=th310>;PLINE-10-annoteIPL
